id,item_group_id,title,description,link,image_link,price,availability,condition,google_product_category,product_type,additional_image_link,sale_price,brand,gender,age_group,size,size_type,shipping,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,adwords_redirect
"flexitol-lip-balm---berry---best-lip-balm-for-dry-and-chapped-lips-lip-moisturiser-protection-for-dr","flexitol","Flexitol Flexitol Lip Balm - Berry - Best Lip Balm for Dry and Chapped Lips, Lip Moisturiser & Protection for Dry Lips, Top Lip Treatment in Canada (1","; ; Brand Flexitol Item form Balm Skin type Combination, Dry Colour Berry Product benefits Smoothening,Moisturizing Flavour Berry Material feature Nourishing, Emollient Item weight 10 g Number of Items 1 Unit count 10 gram See more | Verdict: The Flexitol Lip Balm is an excellent choice for those struggling with dry and chapped lips. With its nourishing and emollient properties, it provides long-lasting moisturization and protection. We highly recommend it for its effectiveness and value. Overall, it's a top-notch lip treatment that dese | Best for: Balms & Treatments | Editor Score: 4/10 | Rating: 4.4/5 (1585 reviews) | ASIN: B09454T2X9 | Get Flexitol Lip Balm for dry, chapped lips. Moisturize & protect with our nourishing balm. Shop now & see reviews!","https://dawnwire.com/products/flexitol-lip-balm---berry---best-lip-balm-for-dry-and-chapped-lips-lip-moisturiser-protection-for-dry-lips-top-lip-treatment-in-canada-10g","https://m.media-amazon.com/images/I/61uqbmRtdgS.jpg","15.99 USD","in stock","new","Home & Garden","Flexitol > Balms & Treatments",,,"Flexitol","unisex","adult",,,"US:Standard:0 USD","standard","regular_price","no_deal","flexitol","balms_&_treatments",
"jamiewin-led-light-up-jump-rope-for-kids-glow-in-the-dark-beaded-jump-rope","jamiewin","JAMIEWIN JAMIEWIN Led Light Up Jump Rope for Kids Glow in the Dark Beaded Jump Rope","The JAMIEWIN Led Light Up Jump Rope for Kids combines vibrant glow-in-the-dark LED illumination with a durable beaded construction. It serves as an engaging tool to encourage active outdoor play after sunset. | Verdict: The JAMIEWIN LED Light Up Jump Rope brings an exciting visual twist to classic outdoor play at an affordable $12.99 price point. While the beaded design offers decent weight for rhythm, the battery compartment requires careful handling during vigorous use. Overall, it is a fun, highly engaging gift  | Best for: Jump Ropes | Editor Score: 8/10 | Rating: 4.1/5 (35 reviews) | ASIN: B0GCSPLB6D | Get JAMIEWIN Led Jump Rope for $10.99! Glow-in-dark fun for kids. Read reviews now!","https://dawnwire.com/products/jamiewin-led-light-up-jump-rope-for-kids-glow-in-the-dark-beaded-jump-rope","https://m.media-amazon.com/images/I/719M6JVne6L.jpg","12.99 USD","in stock","new","Home & Garden","JAMIEWIN > Jump Ropes",,,"JAMIEWIN","unisex","adult",,,"US:Standard:0 USD","top_rated","regular_price","no_deal","jamiewin","jump_ropes",
"dude-wipes-unscented-adult-flushable-wet-wipes-sensitive-skin-288-count","dude-wipes","DUDE Wipes DUDE Wipes Unscented Adult Flushable Wet Wipes, Sensitive Skin, 288 Count","The DUDE Wipes Unscented Adult Flushable Wet Wipes feature an extra-large, aloe-infused design tailored specifically for sensitive skin. Supplying 288 wipes across convenient dispenser packs, this bulk set delivers a superior clean without irritating synthetic fragrances. | Verdict: The DUDE Wipes Unscented 288-Count pack offers an exceptional combination of gentle, sensitive skin care and robust bulk value. Formulated without harsh fragrance or alcohol, these extra-large wipes provide a significantly cleaner feel than standard toilet paper. While individual plumbing systems va | Best for: Personal Cleansing Wipes | Editor Score: 9/10 | Rating: 4.7/5 (242977 reviews) | ASIN: B010NE2XPC | Get 288 DUDE Wipes for sensitive skin. Flushable & fragrance-free. $14.99. Read reviews!","https://dawnwire.com/products/dude-wipes-unscented-adult-flushable-wet-wipes-sensitive-skin-288-count","https://m.media-amazon.com/images/I/81FF8u8PgxL.jpg","21.77 USD","in stock","new","Home & Garden > Home Decor","DUDE Wipes > Personal Cleansing Wipes",,"20.58 USD","DUDE Wipes","unisex","adult",,,"US:Standard:0 USD","top_rated","on_sale","no_deal","dude_wipes","personal_cleansing_wipes",
"makeup-organizer-with-led-mirror-cosmetic-display-cases-off-white","mwykzrt","Mwykzrt Makeup Organizer with LED Mirror, Cosmetic Display Cases, Off White","Verdict: The Makeup Organizer with LED Mirror, Cosmetic Display Cases, Off White by Mwykzrt delivers outstanding performance for its price of $69.99. It is best suited for shoppers looking for a dependable Train Cases option — strong value for money overall, with minor trade-offs in the areas our full review | Best for: Train Cases | Editor Score: 10/10 | Rating: 5/5 (2 reviews) | ASIN: B0GX9BTPB3 | Get Mwykzrt Off White Makeup Organizer with LED Mirror. $50. Check reviews now!","https://dawnwire.com/products/makeup-organizer-with-led-mirror-cosmetic-display-cases-off-white","https://m.media-amazon.com/images/I/71GlRtUnFjL.jpg","69.99 USD","in stock","new","Electronics > Audio & Video > Video Equipment","Mwykzrt > Train Cases",,,"Mwykzrt","unisex","adult",,,"US:Standard:0 USD","top_rated","regular_price","no_deal","mwykzrt","train_cases",
"4-piece-extra-large-bath-towels-30-x-60-inches-dark-grey","tens-towels","Tens Towels 4 Piece Extra Large Bath Towels 30 x 60 Inches, Dark Grey","Verdict: The 4 Piece Extra Large Bath Towels 30 x 60 Inches, Dark Grey by Tens Towels delivers solid performance for its price of $35.99. It is best suited for shoppers looking for a dependable Bath Towels option — strong value for money overall, with minor trade-offs in the areas our full review highlights. | Best for: Bath Towels | Editor Score: 9/10 | Rating: 4.2/5 (24811 reviews) | ASIN: B08LBN2JPS | Get 4 XL bath towels (30x60in) for a low price! $29.99. Read reviews now!","https://dawnwire.com/products/4-piece-extra-large-bath-towels-30-x-60-inches-dark-grey","https://m.media-amazon.com/images/I/918gCoGCVYL.jpg","35.99 USD","in stock","new","Home & Garden > Home Decor","Tens Towels > Bath Towels",,,"Tens Towels","unisex","adult",,,"US:Standard:0 USD","top_rated","regular_price","no_deal","tens_towels","bath_towels",
"kiko-milano-3d-hydra-lip-gloss-high-shine-hydrating-plumping-non-sticky-moisturizing-lip-makeup","kiko-milano","KIKO Milano KIKO Milano 3D Hydra Lip Gloss – High Shine, Hydrating, Plumping, Non-Sticky, Moisturizing Lip Makeup","Verdict: The KIKO Milano 3D Hydra Lip Gloss – High Shine, Hydrating, Plumping, Non-Sticky, Moisturizing Lip Makeup by KIKO Milano delivers outstanding performance for its price of $14.00. It is best suited for shoppers looking for a dependable Lip Glosses option — strong value for money overall, with minor t | Best for: Lip Glosses | Editor Score: 9/10 | Rating: 4.6/5 (27757 reviews) | ASIN: B06XTPX8B2 | Get high shine & hydration with KIKO Milano 3D Hydra Lip Gloss. Non-sticky & moisturizing. Read reviews now!","https://dawnwire.com/products/kiko-milano-3d-hydra-lip-gloss-high-shine-hydrating-plumping-non-sticky-moisturizing-lip-makeup","https://m.media-amazon.com/images/I/61PrzosIUpL.jpg","63.64 USD","in stock","new","Health & Beauty > Personal Care > Skin Care","KIKO Milano > Lip Glosses",,"14.00 USD","KIKO Milano","unisex","adult",,,"US:Standard:0 USD","top_rated","on_sale","no_deal","kiko_milano","lip_glosses",
"extension-cord-10-ft---long-power-strip-surge-protector-6-ac-outlet-4-usb","addtam","Addtam Extension Cord 10 ft - Long Power Strip Surge Protector, 6 AC Outlet 4 USB","Verdict: The Extension Cord 10 ft - Long Power Strip Surge Protector, 6 AC Outlet 4 USB by Addtam delivers outstanding performance for its price of $15.99. It is best suited for shoppers looking for a dependable Power Strips option — strong value for money overall, with minor trade-offs in the areas our full | Best for: Power Strips | Editor Score: 10/10 | Rating: 4.8/5 (3190 reviews) | ASIN: B0CGWMQ89V | Get 6 AC outlets & 4 USB ports for $25.99! Read reviews now!","https://dawnwire.com/products/extension-cord-10-ft---long-power-strip-surge-protector-6-ac-outlet-4-usb","https://m.media-amazon.com/images/I/617NhtUTO1L.jpg","17.99 USD","in stock","new","Home & Garden","Addtam > Power Strips",,"15.99 USD","Addtam","unisex","adult",,,"US:Standard:0 USD","top_rated","on_sale","no_deal","addtam","power_strips",
"pedal-resistance-band-with-handle-upgraded-55lbs-exercise-resistance-bands-for-core-abs-legs-glutes-","krniuc","KRNIUC Pedal Resistance Band with Handle | Upgraded 55LBS Exercise Resistance Bands for Core, Abs, Legs, Glutes, Arms, Strength, Physical Therapy, Pil","The KRNIUC Pedal Resistance Band with Handle delivers upgraded 55LBS tension designed to target your core, abs, and lower body effectively. Its foot pedal anchor system provides enhanced stability during sit-ups and physical therapy routines compared to traditional resistance loo… | Verdict: The KRNIUC Pedal Resistance Band offers an impressive 55LBS of resistance, making it a stellar low-cost addition to any home gym setup. Its versatile design effectively targets core, legs, and arms without requiring bulky machinery. While the fixed tension level may not satisfy advanced powerlifters | Best for: Resistance Bands | Editor Score: 9/10 | Rating: 4.5/5 (200 reviews) | Deal: Apply 5% coupon Terms [data-selec | ASIN: B0GHLPFJC3 | Upgrade your home gym with KRNIUC's 55LBS pedal resistance band. Target core, abs & legs. $29.99. Read reviews now!","https://dawnwire.com/products/pedal-resistance-band-with-handle-upgraded-55lbs-exercise-resistance-bands-for-core-abs-legs-glutes-arms-strength-physical-therapy-pilates-sit-up-workout-equipment-for-women-home-gym","https://m.media-amazon.com/images/I/71JUYk4fr0L.jpg","19.97 USD","in stock","new","Health & Fitness > Exercise & Fitness","KRNIUC > Resistance Bands",,"11.97 USD","KRNIUC","unisex","adult",,,"US:Standard:0 USD","top_rated","on_sale","has_deal","krniuc","resistance_bands",
"no-touch-thermometer-for-adults-and-kids-accurate-digital-baby-thermometer","goodbaby","GoodBaby No-Touch Thermometer for Adults and Kids, Accurate Digital Baby Thermometer","Verdict: The No-Touch Thermometer for Adults and Kids, Accurate Digital Baby Thermometer by GoodBaby delivers outstanding performance for its price of $16.98. It is best suited for shoppers looking for a dependable Thermometers option — strong value for money overall, with minor trade-offs in the areas our f | Best for: Thermometers | Editor Score: 9/10 | Rating: 4.5/5 (118384 reviews) | ASIN: B0824XNJSW | Accurate digital thermometer for $19.99. Read reviews & get best baby temp checks","https://dawnwire.com/products/no-touch-thermometer-for-adults-and-kids-accurate-digital-baby-thermometer","https://m.media-amazon.com/images/I/51JdQWimMaL.jpg","24.99 USD","in stock","new","Home & Garden","GoodBaby > Thermometers",,"16.98 USD","GoodBaby","unisex","adult",,,"US:Standard:0 USD","top_rated","on_sale","no_deal","goodbaby","thermometers",
"lemonsac-15pcs-colorful-eyeliner-pen-set-eye-shadow-pencil-pearl-matte-metallic-glitter-eyeliner-for","lemonsac","LemonSac LemonSac 15PCS Colorful Eyeliner Pen Set, Eye Shadow Pencil, Pearl & Matte Metallic Glitter Eyeliner for Women, Eye & Lip Liner, Professional","Best for: Eyeliner | Editor Score: 8.4/10 | Rating: 4.2/5 (4617 reviews) | ASIN: B092ZJ9FX9 | Get LemonSac 15PCS Eyeliner Pen Set for $10.99! 4.5-star rated, buy now & review","https://dawnwire.com/products/lemonsac-15pcs-colorful-eyeliner-pen-set-eye-shadow-pencil-pearl-matte-metallic-glitter-eyeliner-for-women-eye-lip-liner-professional-eye-makeup-set","https://m.media-amazon.com/images/I/819JCNnKl6S.jpg","9.99 USD","in stock","new","Health & Beauty > Personal Care > Skin Care","LemonSac > Eyeliner",,"8.99 USD","LemonSac","unisex","adult",,,"US:Standard:0 USD","top_rated","on_sale","no_deal","lemonsac","eyeliner",
"one-beat-10ft-extension-cord-with-multiple-outletsflat-plug-power-strip","one-beat","One Beat One Beat 10Ft Extension Cord with Multiple Outlets,Flat Plug Power Strip","; ; Brand One Beat Color White Total Power Outlets 6 Voltage 125 volts Special Feature Mountable, On And Off Switch, Surge Protection, Usb Slot, Wide Spaced Outlet | Best for: Power Strips | Editor Score: 9.4/10 | Rating: 4.7/5 (7632 reviews) | ASIN: B0CKKLDZM8 | Get One Beat 10Ft extension cord with 6 outlets & surge protection. Buy now & review!","https://dawnwire.com/products/one-beat-10ft-extension-cord-with-multiple-outletsflat-plug-power-strip","https://m.media-amazon.com/images/I/618I9hPCIjL.jpg","16.99 USD","in stock","new","Home & Garden","One Beat > Power Strips",,"13.99 USD","One Beat","unisex","adult",,,"US:Standard:0 USD","top_rated","on_sale","no_deal","one_beat","power_strips",
