"slug","product_name","asin","click_count","current_url"
"hefty-slider-storage-bags-gallon-size-66ct","Hefty Slider Storage Bags, Gallon Size, 66ct","B01JLPJM8U","8","https://www.amazon.com/dp/B01JLPJM8U?tag=dawnwire-20&linkCode=ll2&language=en_US"
"cerave-moisturizing-cream-face-body-moisturizer-for-dry-skin-19oz","CeraVe Moisturizing Cream, Face & Body Moisturizer for Dry S","B00TTD9BRC","6","https://www.amazon.com/dp/B00TTD9BRC?tag=dawnwire-20&linkCode=ll2&language=en_US"
"extension-cord-10-ft---long-power-strip-surge-protector-6-ac-outlet-4-usb","Extension Cord 10 ft - Long Power Strip Surge Protector, 6 A","B0CGWMQ89V","5","https://www.amazon.com/dp/B0CGWMQ89V?tag=dawnwire-20&linkCode=ll2&language=en_US"
"ball-64-ounce-jar-wide-mouth-set-of-2","Ball 64 ounce Jar, Wide Mouth, Set of 2","B01N1SIQP2","5","https://www.amazon.com/dp/B01N1SIQP2?tag=dawnwire-20&linkCode=ll2&language=en_US"
"cuisinart-15-piece-stainless-steel-hollow-handle-block-set-c77ss-15pk","Cuisinart 15-Piece Stainless Steel Hollow Handle Block Set, ","B00GIBKC3K","5","https://www.amazon.com/dp/B00GIBKC3K?tag=dawnwire-20&linkCode=ll2&language=en_US"
"4k4k-dash-cam-front-and-rear-free-128gb-card-included-58ghz-wifi-20mbs-fast-download-dash-camera-for-cars-with-accurate-gps-g-sensor-wdr-night-vision-339-ips-screen-24h-parking-mode","4K+4K Dash Cam Front and Rear, Free 128GB Card Included, 5.8","B0H6B6Y33F","5","https://www.amazon.com/dp/B0H6B6Y33F?tag=dawnwire-20&linkCode=ll2&language=en_US"
"howard-products-food-grade-mineral-oil-for-wood-cutting-board---12-oz-pack-of-1","Howard Products Food Grade Mineral Oil for Wood Cutting Boar","B004G6X0J2","5","https://www.amazon.com/dp/B004G6X0J2?tag=dawnwire-20&linkCode=ll2&language=en_US"
"hefty-ultra-strong-13-gal-kitchen-trash-bags-white-lavender-vanilla-80ct","Hefty Ultra Strong 13 Gal Kitchen Trash Bags, White, Lavende","B01BZ0LXL8","5","https://www.amazon.com/dp/B01BZ0LXL8?tag=dawnwire-20&linkCode=ll2&language=en_US"
"bs-mall-makeup-brushes-foundation-powder-concealers-eye-shadows-makeup-set-with-led-light-mirror-14-pcs-mini-makeup-brushes-apink","BS-MALL Makeup Brushes Foundation Powder Concealers Eye Shad","B0BQDHTCCR","4","https://www.amazon.com/dp/B0BQDHTCCR?tag=dawnwire-20&linkCode=ll2&language=en_US"
"qttier-educated-af-banner-funny-graduation-party-decor","Qttier Educated AF Banner, Funny Graduation Party Decor","B07PB4L2KN","4","https://www.amazon.com/dp/B07PB4L2KN?tag=dawnwire-20&linkCode=ll2&language=en_US"
"sharpie-school-supplies-variety-pack-my-first-all-in-one-pack-expo-paper-mate-elmers-glue-sticks-pourable-glue-pencils-dry-erase-markers-highlighters-and-more-31-count","Sharpie School Supplies Variety Pack, My First All in One Pa","B0D19HR16H","4","https://www.amazon.com/dp/B0D19HR16H?tag=dawnwire-20&linkCode=ll2&language=en_US"
"reynolds-kitchens-pop-up-parchment-paper-sheets-120ct","Reynolds Kitchens Pop-Up Parchment Paper Sheets, 120ct","B09BY6NYQ9","4","https://www.amazon.com/dp/B09BY6NYQ9?tag=dawnwire-20&linkCode=ll2&language=en_US"
"apple-2026-macbook-air-15-inch-laptop-with-m5-chip-built-for-ai-153-inch-liquid-retina-display-16gb-unified-memory-512gb-ssd-12mp-center-stage-camera-touch-id-wi-fi-7-midnight","Apple 2026 MacBook Air 15-inch Laptop with M5 chip: Built fo","B0GR114BV7","4","https://www.amazon.com/dp/B0GR114BV7?tag=dawnwire-20&linkCode=ll2&language=en_US"
"yogati-yoga-mat-with-strap-with-alignment-lines-home-workout-mat-for-women-men-and-kids-thick-non-slip-yoga-mat-for-pilates-and-fitness-brown-pink-and-purple-yoga-mats","YOGATI® Yoga Mat with Strap with Alignment Lines. Home Worko","B0CJ39LHNX","4","https://www.amazon.com/dp/B0CJ39LHNX?tag=dawnwire-20&linkCode=ll2&language=en_US"
"monster-bluetooth-speaker-wireless-portable-outdoor-bluetooth-speakers-60w-true-wireless-stereo-ipx8-waterproof-dual-pairingbluetooth-54-built-in-mic-black","Monster Bluetooth Speaker, Wireless Portable Outdoor Bluetoo","B0F43NM23Q","4","https://www.amazon.com/dp/B0F43NM23Q?tag=dawnwire-20&linkCode=ll2&language=en_US"
"chefman-obliterator-48-oz-countertop-blender-for-smoothies-1380w-motor-to-crush-ice-nuts-and-frozen-fruit-with-stainless-steel-blade-auto-blend-function-includes-tamper-and-scraper","Chefman Obliterator 48 oz Countertop Blender for Smoothies, ","B0FLMSS7GD","4","https://www.amazon.com/dp/B0FLMSS7GD?tag=dawnwire-20&linkCode=ll2&language=en_US"
"wonenice-50l455-waterproof-hiking-backpack-outdoor-daypack-wrain-cover","WoneNice 50L(45+5) Waterproof Hiking Backpack Outdoor Daypac","B07M9NGMZ5","4","https://www.amazon.com/dp/B07M9NGMZ5?tag=dawnwire-20&linkCode=ll2&language=en_US"
"speak-spell-educational-learning-toy-spelling-games-80s-retro-handheld","Speak & Spell Educational Learning Toy, Spelling Games, 80s ","B0DLGXCQFZ","4","https://www.amazon.com/dp/B0DLGXCQFZ?tag=dawnwire-20&linkCode=ll2&language=en_US"
"anua-pdrn-collagen-glow-facial-serum-spray-338-fl-oz","Anua PDRN Collagen Glow Facial Serum Spray, 3.38 fl oz","B0FVT77ZLL","4","https://www.amazon.com/dp/B0FVT77ZLL?tag=dawnwire-20&linkCode=ll2&language=en_US"
"homexcel-12pk-microfiber-cleaning-cloth-cleaning-rag-for-home-115x115in","HOMEXCEL 12PK Microfiber Cleaning Cloth, Cleaning Rag for Ho","B098D79MQB","4","https://www.amazon.com/dp/B098D79MQB?tag=dawnwire-20&linkCode=ll2&language=en_US"
"biodance-collagen-peptides-jelly-serum-mist-hydrating-face-mist-plumping-anti-aging-face-spray-sprayable-hydrogel-travel-essentials-self-care-gifts-for-women-korean-skin-care-169-floz","BIODANCE Collagen Peptides Jelly Serum Mist, Hydrating Face ","B0GF86QJK7","4","https://www.amazon.com/dp/B0GF86QJK7?tag=dawnwire-20&linkCode=ll2&language=en_US"
"womens-animal-plush-slippers-cute-cozy-fuzzy-house-shoes-non-slip-sole","Women's Animal Plush Slippers, Cute Cozy Fuzzy House Shoes N","B0D79YHL4P","3","https://www.amazon.com/dp/B0D79YHL4P?tag=dawnwire-20&linkCode=ll2&language=en_US"
"the-ultimate-guide-to-college-success-smart-strategies-for-time-management-practical-study-skills-goal-setting-and-productivity-hacks-for-academic-confidence","The Ultimate Guide to College Success: Smart Strategies for ","B0DYPM21K8","3","https://www.amazon.com/dp/B0DYPM21K8?tag=dawnwire-20&linkCode=ll2&language=en_US"
"faber-castell-kneadable-eraser-for-artists-in-storage-case---absorbent-kneaded-erasers-art-eraser-1-pack-grey","Faber-Castell Kneadable Eraser for Artists in Storage Case -","B01EFPZHOO","3","https://www.amazon.com/dp/B01EFPZHOO?tag=dawnwire-20&linkCode=ll2&language=en_US"
"vitever-130-sets---2-oz-jello-shot-cups-small-plastic-containers-with-lids-airtight-and-stackable-portion-cups-salad-dressing-container-dipping-sauce-cups-condiment-cups","VITEVER 130 sets - 2 oz Jello Shot Cups, Small Plastic Conta","B09YGRM35C","3","https://www.amazon.com/dp/B09YGRM35C?tag=dawnwire-20&linkCode=ll2&language=en_US"
"tamaki-erasers-large-white-6-pack","Tamaki Erasers, Large, White, 6 Pack","B0B2NTNCP5","3","https://www.amazon.com/dp/B0B2NTNCP5?tag=dawnwire-20&linkCode=ll2&language=en_US"
"transon-art-portfolio-case-artist-backpack-canvas-bag-large-26-x-195","TRANSON Art Portfolio Case Artist Backpack Canvas Bag Large ","B07BHKPT3N","3","https://www.amazon.com/dp/B07BHKPT3N?tag=dawnwire-20&linkCode=ll2&language=en_US"
"existential-crisis-duck-lamp-night-light-white-elephant-gifts","Existential Crisis Duck Lamp Night Light, White Elephant Gif","B0DRL96PCC","3","https://www.amazon.com/dp/B0DRL96PCC?tag=dawnwire-20&linkCode=ll2&language=en_US"
